Ex5v1 Ex5v2
0.196159292936775 A
-1.5342467233666 A
0.162627833165458 A
-0.604885801417417 A
-0.418072846555306 A
-0.794433526895092 A
1.49935612850205 A
-0.29983473458453 A
-0.0374770721178477 A
0.448348769357555 A
-0.340113721889926 A
0.482706383967549 A
0.170464767530453 A
-0.533385895924566 A
-0.0817778335998244 A
0.753793387528478 A
-1.05694343284247 A
0.787415887063644 A
-0.28584764771049 A
0.127397355462491 A
-0.367838669367045 A
-1.40848995549161 A
1.86226572778459 A
-0.349847702043544 A
-2.25680850007931 A
-0.232667186006723 A
-0.602245778107035 A
-0.104641075322929 A
0.0241439059558522 A
0.441129739923906 A
0.081443088573692 A
-0.0966399520527869 A
1.39733198065757 A
0.129781560505984 A
-1.26907133043854 A
-0.504515413078637 A
-0.63509201101952 A
1.46729944419778 A
-0.0628799743615813 A
-0.0397681777386927 A
0.00720602634391138 A
0.454504241915104 A
1.37619856052503 A
-0.257962994232836 A
0.230619796660068 A
-0.0988733156833949 A
-0.139233076496933 A
0.840440720540912 A
1.11446914596357 A
-0.889074585806027 A
1.38247427772932 A
0.514497424992659 A
0.837628050956694 A
-0.33827024235117 A
0.562999584286608 A
0.157786594512391 A
0.0144313074768195 A
-1.51442079228921 A
-0.677476094419036 A
-0.872079090136493 A
-1.22177775213822 A
-0.453430082777809 A
-0.408401898319698 A
-0.101737472448183 A
0.00386174781680709 A
-0.99892042542124 A
-1.30719637844834 A
-1.25031266840844 A
-1.4287098189153 A
-1.22664024866053 A
-0.616126843515745 A
0.656521618187689 A
-0.306697351542482 A
0.488135047000583 A
1.48123322944206 A
-1.10372256882018 A
-0.49693546973785 A
-0.677725532094713 A
0.49725507883706 A
0.972042925270954 A
-0.121823350510503 A
0.925779137113405 A
0.799457236576745 A
0.976318661311609 A
-1.73742420626998 A
-0.51201954277438 A
0.668939209614672 A
1.12386057304057 A
-0.82698771641107 A
0.16058062594673 A
-1.64641269041678 A
0.971061153913054 A
-0.26192999488317 A
0.320325627296216 A
-0.372478353685645 A
0.341225727480995 A
0.843534005479013 A
1.6268105341546 A
0.0821934594485923 A
-0.141246679780314 A
-0.725890045105129 A
-0.769393590605495 A
-0.11212980832924 A
0.936670419741037 A
-1.20440418101547 A
-0.989730140976302 A
-0.921195199984608 A
0.596369538301558 A
-1.26276109750647 A
0.371082160941385 A
1.07155720210293 A
-0.160447482353217 A
0.311396356406737 A
0.534609788811566 A
0.659831001918946 A
-0.352009332204228 B
-0.0469078343571662 B
-0.0853832916822285 B
-0.29044726616703 B
0.344722671565995 B
-0.0987786185927689 B
-0.329234231519813 B
0.129618042965835 B
-0.120244182479831 B
-0.350523027013125 B
-0.341292742267251 B
-0.267129513316155 B
0.614004571321321 B
-0.310322440432256 B
-0.171835007471964 B
-0.37276482926821 B
0.0509571189782084 B
-0.0602078175637871 B
0.350976795288634 B
0.284157723539925 B
-0.292049787554947 B
-0.0618068921379745 B
-0.27891081883572 B
-0.0361771194666544 B
-0.0216388899111687 B
-0.341558144288138 B
-0.173112502799596 B
-0.226774943387136 B
-0.162909796554595 B
0.381539016635336 B
0.128773262610144 B
-0.06774162426839 B
-0.0130024894170213 B
-0.159640273405239 B
-0.297219728445634 B
0.831841196243036 B
-0.355626225331798 B
0.0437689203558922 B
-0.312106925155967 B
-0.373716557772928 B
-0.369823414226994 B
-0.231617076138003 B
0.809188960197816 B
0.599233089345408 B
0.127128581402308 B
-0.330439626798034 B
-0.349521376764583 B
-0.0227435018145978 B
-0.374073976278305 B
-0.203181652212515 B
-0.243383277999237 B
0.258575363436198 B
-0.0492220319948172 B
-0.0515331664332687 B
-0.00803057022630566 B
0.56044491035997 B
0.484473114232433 B
-0.0170102767856359 B
0.125083808373395 B
0.0386950282147518 B
-0.314567401951487 B
0.58050204462151 B
-0.0327960389401381 B
-0.199313102150336 B
0.659920274589527 B
-0.169081228412688 B
-0.252759778732434 B
0.596564141432655 B
0.851106804316997 B
-0.0697796573862434 B
0.125963755303478 B
0.720688276269639 B
0.0592809844641049 B
0.384269760706482 B
-0.0335309632350176 B
-0.356481187376564 B
-0.282959539769217 B
-0.222423154488206 B
-0.285915928054601 B
-0.349777921428904 B
-0.269573701405898 B
-0.351858723303303 B
-0.370892315730453 B
-0.268994790827855 B
-0.226490257334346 B
-0.288712812908426 B
0.739662698779571 B
-0.10649152668193 B
0.228215673824257 B
-0.3347935498606 B
0.0179880455857576 B
0.205114695595062 B
-0.358422810072079 B
-0.350545225758106 B
0.976017455879915 B
0.0201787516952737 B
-0.212601326499134 B
0.90967005429076 B
-0.146023645012708 B
-0.240227604315145 B
-0.0552304548677057 B
0.0208897409273948 B
-0.204685272496258 B
-0.28211590051651 B
0.312614527861488 B
0.35555618848176 B
0.0916763189038695 B
-0.157476187776774 B
-0.359950653879153 B
0.0358260319358171 B
-0.0308415557424421 B
-0.134211137285456 B
-0.346620716014877 B
0.676492789818198 B
0.274232535508877 B
0.161837646157897 B
-0.216008847439662 B
-0.158234377484769 B
0.161954111305481 B
-0.271711789397523 B
0.0553960952697755 B
0.613111054855299 B
0.433406732375634 B
-0.284707330958918 B
1.76466788822001 B
-0.370309804892167 B
-0.361351286071926 B
-0.383357890158741 B
0.256981483546502 B
0.00226360175520784 B
-0.2472364865707 B
0.318208858701301 B
-0.0260159011208951 B
-0.0627665860578418 B
-0.104715946689248 B
2.53267314167389 B
0.339022725219739 B
-0.355194030422717 B
-0.180882556922734 B
0.597323632198286 B
0.484626276749087 B
-0.00615391845121377 B
0.618991702194226 B
0.609835392194701 B
0.0280061954422355 B
0.0594921659083485 B
-0.366795170078404 B
0.0273723386949361 B
-0.104118095105514 B
-0.21430662966455 B
-0.102449259115383 B
0.515818807626975 B
-0.336899745371193 B
0.120347665062173 B
-0.154893193487078 B
-0.236351917125285 B
-0.271885986533016 B
-0.164443922089413 B
-0.0212524934881865 B
-0.192522133793682 B
0.414773553940368 B
0.0552444321824671 B
0.377899181428266 B
-0.0943700646515936 B
-0.364360947187939 B
-0.345677470917758 B
-0.0905293792951852 B
-0.335236304998398 B
0.0276015148288072 B
-0.134495601151139 B
0.482908204984051 B
1.15488222393866 B
0.263769632556892 B
-0.257802995445343 B
0.774856540683973 B
-0.1189087679144 B
-0.0164090255842854 B
0.027081989569074 B
-0.356736014508896 B
1.1619654450605 B
0.208984187102447 B
-0.317550248234667 B
0.275631803905076 B
0.3692391146176 B
-0.332121539721265 B
-0.348186139915435 B
-0.234977406309918 B
-0.322892265539109 B
-0.336978387390037 B
